Customer ID,Customer Name,Segment,Region,State,City,Join Date,Geography Key,Recency,Frequency,Monetary,Total_Profit,Total_Units,First_Purchase,Last_Purchase,R_Score,F_Score,M_Score,RFM_Score,RFM Segment,Customer Lifetime Value,Average Order Value
CUST-0027,Donna Parker,Consumer,West,California,Los Angeles,2023-06-24,GEO-0008,76,7,4510.15,1828.67,13,2023-10-05,2026-04-16,4,4,4,444,Champions,4510.15,644.31
CUST-0028,Nicholas Thompson,Consumer,West,Oregon,Portland,2023-09-04,GEO-0016,129,16,17819.2,5675.44,31,2023-10-11,2026-02-22,3,5,5,355,Loyal Customers,17819.2,1113.7
CUST-0029,Julie Cook,Corporate,West,Nevada,Las Vegas,2024-02-05,GEO-0029,33,6,2095.75,924.39,16,2024-11-11,2026-05-29,5,4,3,543,Loyal Customers,2095.75,349.29
CUST-0030,Ruth Lee,Corporate,West,California,Los Angeles,2025-05-11,GEO-0008,150,1,27.0,3.93,1,2026-02-01,2026-02-01,3,1,1,311,Low-Value Customers,27.0,27.0
CUST-0031,Carol Morales,Consumer,Central,Ohio,Cleveland,2023-09-22,GEO-0030,28,2,2015.5,531.26,7,2023-11-16,2026-06-03,5,1,3,513,New Customers,2015.5,1007.75
CUST-0032,Mark Davis,Consumer,West,Washington,Spokane,2022-06-25,GEO-0007,662,1,100.3,51.13,2,2024-09-07,2024-09-07,1,1,1,111,Low-Value Customers,100.3,100.3
CUST-0033,Carolyn Morales,Corporate,West,Arizona,Phoenix,2022-09-20,GEO-0026,145,13,10715.55,4620.69,23,2023-05-31,2026-02-06,3,5,5,355,Loyal Customers,10715.55,824.27
CUST-0034,Gregory Stewart,Home Office,East,New York,New York City,2023-06-27,GEO-0014,417,3,336.9,187.12,4,2024-07-28,2025-05-10,1,2,1,121,Low-Value Customers,336.9,112.3
CUST-0035,Angela Diaz,Home Office,East,Pennsylvania,Philadelphia,2023-10-01,GEO-0006,87,15,15551.6,5926.93,32,2023-12-07,2026-04-05,4,5,5,455,Champions,15551.6,1036.77
CUST-0036,Stephanie Mitchell,Consumer,South,Georgia,Atlanta,2022-09-05,GEO-0010,132,4,1206.5,530.52,9,2023-04-12,2026-02-19,3,3,2,332,Potential Loyalists,1206.5,301.62
CUST-0037,Sandra Lewis,Consumer,West,California,San Francisco,2025-04-19,GEO-0025,19,4,348.7,56.32,6,2025-10-11,2026-06-12,5,3,1,531,Potential Loyalists,348.7,87.18
CUST-0038,Stephen Robinson,Corporate,West,California,Los Angeles,2022-05-26,GEO-0008,570,1,210.0,113.49,1,2024-12-08,2024-12-08,1,1,1,111,Low-Value Customers,210.0,210.0
CUST-0039,Raymond Davis,Consumer,West,California,San Diego,2023-11-08,GEO-0005,29,2,2642.05,1042.3600000000001,3,2024-01-10,2026-06-02,5,1,3,513,New Customers,2642.05,1321.02
CUST-0040,Elizabeth Rogers,Consumer,South,Virginia,Richmond,2023-03-15,GEO-0013,208,3,1107.6,440.35,3,2024-01-24,2025-12-05,2,2,2,222,Low-Value Customers,1107.6,369.2
CUST-0041,Helen Taylor,Corporate,South,Tennessee,Nashville,2023-05-13,GEO-0017,594,2,323.0,162.57999999999998,3,2024-05-15,2024-11-14,1,1,1,111,Low-Value Customers,323.0,161.5
CUST-0042,Tyler Stewart,Corporate,East,Pennsylvania,Philadelphia,2022-07-13,GEO-0006,262,3,3995.1,1795.1000000000001,5,2022-12-20,2025-10-12,2,2,4,224,At-Risk Customers,3995.1,1331.7
CUST-0043,Richard Parker,Consumer,South,Florida,Orlando,2024-08-14,GEO-0021,393,2,3926.0,1415.64,5,2024-10-15,2025-06-03,1,1,4,114,At-Risk Customers,3926.0,1963.0
CUST-0044,Henry Miller,Corporate,West,Oregon,Portland,2022-05-05,GEO-0016,1290,1,28.0,10.77,1,2022-12-19,2022-12-19,1,1,1,111,Low-Value Customers,28.0,28.0
CUST-0045,Stephanie Baker,Corporate,West,Oregon,Portland,2023-05-25,GEO-0016,791,2,2857.2,1018.22,3,2023-07-31,2024-05-01,1,1,3,113,At-Risk Customers,2857.2,1428.6
CUST-0046,Matthew Harris,Corporate,West,Arizona,Phoenix,2024-05-14,GEO-0026,144,6,2167.2999999999997,959.4,11,2024-11-29,2026-02-07,3,4,3,343,Loyal Customers,2167.3,361.22
CUST-0047,Margaret Scott,Consumer,West,Washington,Seattle,2024-06-26,GEO-0020,116,1,49.3,17.82,2,2026-03-07,2026-03-07,3,1,1,311,Low-Value Customers,49.3,49.3
CUST-0048,Diane Peterson,Consumer,West,California,Los Angeles,2022-07-11,GEO-0008,126,12,4306.8,1777.59,22,2022-12-13,2026-02-25,3,5,4,354,Loyal Customers,4306.8,358.9
CUST-0049,Kyle Walker,Consumer,South,Virginia,Richmond,2024-09-12,GEO-0013,188,3,474.3,199.31,3,2024-10-01,2025-12-25,3,2,1,321,Potential Loyalists,474.3,158.1
CUST-0050,Betty Phillips,Home Office,East,New York,New York City,2024-02-16,GEO-0014,750,1,89.0,49.65,1,2024-06-11,2024-06-11,1,1,1,111,Low-Value Customers,89.0,89.0
CUST-0051,James Roberts,Consumer,South,North Carolina,Charlotte,2023-08-08,GEO-0015,394,2,4410.75,1811.1399999999999,4,2024-07-28,2025-06-02,1,1,4,114,At-Risk Customers,4410.75,2205.38
CUST-0052,Jason Bailey,Corporate,South,Virginia,Richmond,2022-11-14,GEO-0013,843,7,4501.1,1524.87,11,2022-11-27,2024-03-10,1,4,4,144,Loyal Customers,4501.1,643.01
CUST-0053,Matthew Nguyen,Consumer,West,California,San Jose,2025-04-01,GEO-0011,242,2,466.5,237.65,2,2025-04-23,2025-11-01,2,1,1,211,Low-Value Customers,466.5,233.25
CUST-0054,Jack Cooper,Consumer,Central,Texas,San Antonio,2022-04-28,GEO-0001,361,4,477.05,190.63,9,2022-09-25,2025-07-05,2,3,1,231,At-Risk Customers,477.05,119.26
CUST-0055,Michael Morris,Consumer,East,New York,New York City,2022-04-27,GEO-0014,242,6,6516.65,2817.4700000000003,27,2022-07-04,2025-11-01,2,4,5,245,Loyal Customers,6516.65,1086.11
CUST-0056,Shirley Hernandez,Home Office,West,Washington,Seattle,2025-05-03,GEO-0020,65,5,994.8000000000001,360.86,10,2025-05-29,2026-04-27,4,3,2,432,Potential Loyalists,994.8,198.96
CUST-0057,William Walker,Consumer,East,New Jersey,Newark,2025-03-31,GEO-0018,382,2,1970.0,903.37,10,2025-05-14,2025-06-14,1,1,3,113,At-Risk Customers,1970.0,985.0
CUST-0058,Scott Garcia,Corporate,South,Florida,Orlando,2025-04-10,GEO-0021,237,2,916.1,377.82,2,2025-10-04,2025-11-06,2,1,2,212,Low-Value Customers,916.1,458.05
CUST-0059,Larry Gutierrez,Consumer,Central,Illinois,Chicago,2023-02-23,GEO-0003,63,5,3077.55,1486.75,10,2023-05-30,2026-04-29,4,3,3,433,Loyal Customers,3077.55,615.51
CUST-0060,Christine Green,Consumer,South,Florida,Miami,2022-09-26,GEO-0012,200,2,427.55,204.64,5,2022-12-17,2025-12-13,3,1,1,311,Low-Value Customers,427.55,213.78
CUST-0061,Christine Hill,Consumer,West,Washington,Seattle,2022-01-20,GEO-0020,310,7,1478.5,640.7299999999999,14,2022-07-15,2025-08-25,2,4,2,242,At-Risk Customers,1478.5,211.21
CUST-0062,Ryan Gonzalez,Consumer,East,Pennsylvania,Pittsburgh,2024-11-02,GEO-0031,76,7,2324.0,810.9399999999999,8,2025-03-20,2026-04-16,4,4,3,443,Loyal Customers,2324.0,332.0
CUST-0063,Ashley Taylor,Home Office,West,Washington,Seattle,2023-05-16,GEO-0020,442,4,3169.1,1259.52,8,2023-08-11,2025-04-15,1,3,4,134,Loyal Customers,3169.1,792.28
CUST-0064,Melissa Torres,Consumer,Central,Texas,Austin,2025-06-06,GEO-0027,4,8,9519.300000000001,4027.23,19,2025-07-22,2026-06-27,5,5,5,555,Champions,9519.3,1189.91
CUST-0065,Diane Ortiz,Consumer,Central,Texas,Austin,2022-08-01,GEO-0027,150,14,10868.5,4517.38,34,2022-09-30,2026-02-01,3,5,5,355,Loyal Customers,10868.5,776.32
CUST-0066,Douglas Moore,Consumer,West,Oregon,Portland,2025-02-07,GEO-0016,5,3,3584.3500000000004,1356.6499999999999,6,2025-07-29,2026-06-26,5,2,4,524,New Customers,3584.35,1194.78
CUST-0067,Karen Wright,Consumer,East,Pennsylvania,Pittsburgh,2023-12-04,GEO-0031,117,2,5602.15,2123.62,5,2025-04-03,2026-03-06,3,1,4,314,Potential Loyalists,5602.15,2801.08
CUST-0068,Anthony King,Consumer,Central,Illinois,Chicago,2022-04-15,GEO-0003,357,4,2183.0,963.8800000000001,7,2024-08-06,2025-07-09,2,3,3,233,Loyal Customers,2183.0,545.75
CUST-0069,Barbara Diaz,Home Office,West,California,San Diego,2022-01-08,GEO-0005,203,11,9958.5,3800.86,32,2022-06-28,2025-12-10,3,5,5,355,Loyal Customers,9958.5,905.32
CUST-0070,Kevin Taylor,Corporate,Central,Illinois,Chicago,2022-11-27,GEO-0003,306,3,1072.1,476.02,3,2023-10-21,2025-08-29,2,2,2,222,Low-Value Customers,1072.1,357.37
CUST-0071,Jack Cruz,Corporate,South,Florida,Tampa,2025-02-22,GEO-0009,9,11,9476.45,3363.69,21,2025-03-19,2026-06-22,5,5,5,555,Champions,9476.45,861.5
CUST-0072,Mary Anderson,Consumer,West,Nevada,Las Vegas,2025-01-22,GEO-0029,19,6,2584.6,1140.45,20,2025-11-05,2026-06-12,5,4,3,543,Loyal Customers,2584.6,430.77
CUST-0073,Robert Mitchell,Corporate,West,Nevada,Las Vegas,2024-05-30,GEO-0029,70,13,13665.85,5534.8099999999995,27,2024-06-04,2026-04-22,4,5,5,455,Champions,13665.85,1051.22
CUST-0074,Thomas Garcia,Consumer,West,California,San Diego,2024-01-03,GEO-0005,508,2,886.3499999999999,343.81,2,2024-09-19,2025-02-08,1,1,2,112,Low-Value Customers,886.35,443.17
CUST-0075,Anthony Young,Corporate,Central,Ohio,Columbus,2025-02-20,GEO-0004,181,5,3564.8,1532.3899999999999,11,2025-05-28,2026-01-01,3,3,4,334,Loyal Customers,3564.8,712.96
CUST-0076,Olivia Evans,Home Office,West,Nevada,Las Vegas,2023-04-30,GEO-0029,193,2,4969.85,1327.8200000000002,7,2023-05-16,2025-12-20,3,1,4,314,Potential Loyalists,4969.85,2484.93
CUST-0077,Henry Lee,Home Office,East,New York,Buffalo,2024-04-24,GEO-0028,314,5,1870.6,532.47,8,2024-05-31,2025-08-21,2,3,3,233,Loyal Customers,1870.6,374.12
CUST-0078,Patricia Thompson,Corporate,Central,Michigan,Detroit,2024-04-23,GEO-0024,12,6,13830.0,5303.34,19,2025-09-10,2026-06-19,5,4,5,545,Champions,13830.0,2305.0
CUST-0079,Aaron Young,Consumer,West,Oregon,Portland,2024-02-23,GEO-0016,13,6,1894.05,759.3299999999999,12,2024-10-31,2026-06-18,5,4,3,543,Loyal Customers,1894.05,315.68
CUST-0080,Victoria Jones,Home Office,East,Massachusetts,Boston,2023-02-13,GEO-0002,200,7,3971.65,1311.75,15,2023-10-26,2025-12-13,3,4,4,344,Loyal Customers,3971.65,567.38
CUST-0081,Jose Collins,Consumer,East,Massachusetts,Boston,2023-04-02,GEO-0002,201,7,3097.05,1208.76,13,2024-02-29,2025-12-12,3,4,3,343,Loyal Customers,3097.05,442.44
CUST-0082,Patricia Harris,Consumer,Central,Texas,Houston,2022-05-23,GEO-0023,179,10,14642.55,6278.22,26,2022-09-19,2026-01-03,3,5,5,355,Loyal Customers,14642.55,1464.26
CUST-0083,Jerry Scott,Consumer,South,Florida,Miami,2025-01-03,GEO-0012,22,8,2962.7,1240.72,14,2025-04-16,2026-06-09,5,5,3,553,Loyal Customers,2962.7,370.34
CUST-0084,Kevin Brown,Consumer,Central,Illinois,Chicago,2023-01-01,GEO-0003,31,3,176.05,95.11,3,2023-01-18,2026-05-31,5,2,1,521,New Customers,176.05,58.68
CUST-0085,Justin King,Consumer,South,Florida,Tampa,2023-12-09,GEO-0009,739,2,1115.0,572.37,5,2024-01-15,2024-06-22,1,1,2,112,Low-Value Customers,1115.0,557.5
CUST-0086,Carolyn Green,Consumer,West,Colorado,Denver,2024-02-28,GEO-0022,91,12,9726.45,3684.87,31,2024-09-16,2026-04-01,4,5,5,455,Champions,9726.45,810.54
CUST-0087,Kelly Harris,Consumer,South,Florida,Tampa,2022-01-04,GEO-0009,7,16,11791.099999999999,4957.78,30,2022-05-01,2026-06-24,5,5,5,555,Champions,11791.1,736.94
CUST-0088,Eric Morgan,Corporate,East,Pennsylvania,Philadelphia,2024-01-16,GEO-0006,312,7,3335.5,1440.08,13,2024-02-22,2025-08-23,2,4,4,244,Loyal Customers,3335.5,476.5
CUST-0089,Sharon Rodriguez,Home Office,Central,Michigan,Detroit,2025-06-30,GEO-0024,66,10,3971.8,1458.76,24,2025-07-15,2026-04-26,4,5,4,454,Champions,3971.8,397.18
CUST-0090,Joshua Thomas,Corporate,Central,Texas,Austin,2024-11-04,GEO-0027,102,4,1553.85,559.91,4,2025-09-04,2026-03-21,4,3,2,432,Potential Loyalists,1553.85,388.46
CUST-0091,Emily Evans,Consumer,Central,Texas,Dallas,2025-02-09,GEO-0019,126,4,2068.85,841.21,7,2025-03-03,2026-02-25,3,3,3,333,Loyal Customers,2068.85,517.21
CUST-0092,Thomas Harris,Consumer,Central,Minnesota,Minneapolis,2022-12-23,GEO-0032,342,2,6096.0,2795.38,4,2023-11-18,2025-07-24,2,1,5,215,At-Risk Customers,6096.0,3048.0
CUST-0093,Brandon Hill,Consumer,West,California,Los Angeles,2023-09-15,GEO-0008,307,3,3143.3,996.27,6,2024-07-26,2025-08-28,2,2,4,224,At-Risk Customers,3143.3,1047.77
CUST-0094,Andrew Clark,Consumer,Central,Texas,San Antonio,2024-08-10,GEO-0001,360,3,1723.3,979.83,11,2024-08-26,2025-07-06,2,2,3,223,At-Risk Customers,1723.3,574.43
CUST-0095,Jeffrey Cruz,Corporate,South,Tennessee,Nashville,2022-12-14,GEO-0017,18,13,14345.5,5683.34,26,2023-08-25,2026-06-13,5,5,5,555,Champions,14345.5,1103.5
CUST-0096,Gregory Hernandez,Consumer,Central,Michigan,Detroit,2022-07-11,GEO-0024,25,7,5502.75,2258.64,12,2023-07-05,2026-06-06,5,4,4,544,Champions,5502.75,786.11
CUST-0097,Jose Walker,Corporate,East,Massachusetts,Boston,2023-02-12,GEO-0002,228,9,3975.3,1674.82,14,2023-02-26,2025-11-15,2,5,4,254,Loyal Customers,3975.3,441.7
CUST-0098,Charles Brown,Consumer,South,Tennessee,Nashville,2025-06-05,GEO-0017,15,5,1028.25,90.1,8,2025-07-26,2026-06-16,5,3,2,532,Potential Loyalists,1028.25,205.65
CUST-0099,Nathan Martinez,Consumer,East,Pennsylvania,Philadelphia,2024-02-26,GEO-0006,182,2,590.9,283.05,3,2024-07-05,2025-12-31,3,1,2,312,Potential Loyalists,590.9,295.45
CUST-0100,Amy Phillips,Consumer,West,California,Los Angeles,2022-08-07,GEO-0008,194,3,543.7,202.86,10,2023-12-13,2025-12-19,3,2,1,321,Potential Loyalists,543.7,181.23
CUST-0101,Maria Diaz,Consumer,South,North Carolina,Charlotte,2022-04-13,GEO-0015,130,6,4343.5,1968.19,14,2022-12-06,2026-02-21,3,4,4,344,Loyal Customers,4343.5,723.92
CUST-0102,Anna Young,Home Office,West,Colorado,Denver,2024-07-23,GEO-0022,367,1,354.45,142.05,3,2025-06-29,2025-06-29,2,1,1,211,Low-Value Customers,354.45,354.45
CUST-0103,Sarah Reyes,Corporate,Central,Texas,San Antonio,2024-06-25,GEO-0001,237,1,20.4,-1.53,2,2025-11-06,2025-11-06,2,1,1,211,Low-Value Customers,20.4,20.4
CUST-0104,Brandon Cook,Consumer,South,Georgia,Atlanta,2022-11-22,GEO-0010,195,6,2394.1,969.65,13,2023-06-06,2025-12-18,3,4,3,343,Loyal Customers,2394.1,399.02
CUST-0105,Janet Stewart,Consumer,East,New Jersey,Newark,2023-07-22,GEO-0018,30,14,6254.45,2779.97,27,2023-07-22,2026-06-01,5,5,5,555,Champions,6254.45,446.75
CUST-0106,Jerry Gutierrez,Consumer,East,New Jersey,Newark,2023-07-17,GEO-0018,81,14,4743.95,2050.2599999999998,24,2023-07-31,2026-04-11,4,5,4,454,Champions,4743.95,338.85
CUST-0107,Jeffrey Martinez,Corporate,East,New Jersey,Newark,2023-07-11,GEO-0018,860,1,474.05,190.92,1,2024-02-22,2024-02-22,1,1,1,111,Low-Value Customers,474.05,474.05
CUST-0108,Kevin Green,Home Office,West,Washington,Spokane,2022-10-11,GEO-0007,563,2,56.0,18.990000000000002,3,2023-06-11,2024-12-15,1,1,1,111,Low-Value Customers,56.0,28.0
CUST-0109,Karen Robinson,Consumer,West,Nevada,Las Vegas,2023-03-15,GEO-0029,234,5,1428.1,613.28,8,2023-03-31,2025-11-09,2,3,2,232,At-Risk Customers,1428.1,285.62
CUST-0110,William Turner,Consumer,South,North Carolina,Charlotte,2024-05-01,GEO-0015,269,3,2226.0,960.8,3,2024-11-03,2025-10-05,2,2,3,223,At-Risk Customers,2226.0,742.0
CUST-0111,Linda Clark,Home Office,Central,Minnesota,Minneapolis,2025-04-11,GEO-0032,277,1,79.8,33.34,3,2025-09-27,2025-09-27,2,1,1,211,Low-Value Customers,79.8,79.8
CUST-0112,Rachel Williams,Home Office,Central,Minnesota,Minneapolis,2024-09-03,GEO-0032,259,6,2636.25,1059.66,14,2024-09-25,2025-10-15,2,4,3,243,Loyal Customers,2636.25,439.38
CUST-0113,James Rivera,Consumer,Central,Minnesota,Minneapolis,2024-05-08,GEO-0032,163,2,300.35,175.09,3,2025-10-15,2026-01-19,3,1,1,311,Low-Value Customers,300.35,150.18
CUST-0114,Jonathan Cooper,Corporate,East,Massachusetts,Boston,2024-09-26,GEO-0002,21,11,8265.2,3168.4500000000003,20,2024-11-09,2026-06-10,5,5,5,555,Champions,8265.2,751.38
CUST-0115,Donald Wright,Consumer,West,California,San Francisco,2024-03-07,GEO-0025,759,1,714.0,337.08,4,2024-06-02,2024-06-02,1,1,2,112,Low-Value Customers,714.0,714.0
CUST-0116,Michelle Phillips,Corporate,South,North Carolina,Charlotte,2022-09-19,GEO-0015,153,7,7906.799999999999,3147.93,17,2023-04-19,2026-01-29,3,4,5,345,Loyal Customers,7906.8,1129.54
CUST-0117,Emma Morgan,Consumer,South,Florida,Miami,2025-04-27,GEO-0012,10,5,3639.25,1770.6000000000001,20,2025-06-22,2026-06-21,5,3,4,534,Loyal Customers,3639.25,727.85
CUST-0118,Larry Brown,Consumer,South,Florida,Tampa,2022-10-05,GEO-0009,869,2,3151.75,1085.04,4,2022-11-27,2024-02-13,1,1,4,114,At-Risk Customers,3151.75,1575.88
CUST-0119,Henry Reyes,Consumer,Central,Illinois,Chicago,2024-02-16,GEO-0003,716,1,855.0,250.33,1,2024-07-15,2024-07-15,1,1,2,112,Low-Value Customers,855.0,855.0
CUST-0120,Carol Ramirez,Consumer,Central,Michigan,Detroit,2024-02-16,GEO-0024,17,4,1999.75,851.86,8,2024-12-18,2026-06-14,5,3,3,533,Loyal Customers,1999.75,499.94
CUST-0121,Kimberly Turner,Consumer,West,Washington,Spokane,2024-08-21,GEO-0007,200,1,1497.0,638.36,3,2025-12-13,2025-12-13,3,1,2,312,Potential Loyalists,1497.0,1497.0
CUST-0122,John Cooper,Consumer,Central,Ohio,Columbus,2023-04-05,GEO-0004,152,9,3849.85,1584.55,17,2023-05-05,2026-01-30,3,5,4,354,Loyal Customers,3849.85,427.76
CUST-0123,Katherine Rodriguez,Corporate,West,California,San Diego,2022-03-05,GEO-0005,261,4,1255.95,486.22,7,2023-10-31,2025-10-13,2,3,2,232,At-Risk Customers,1255.95,313.99
CUST-0124,Sandra Sanchez,Home Office,West,Nevada,Las Vegas,2023-05-04,GEO-0029,202,14,11976.45,4577.77,29,2023-07-21,2025-12-11,3,5,5,355,Loyal Customers,11976.45,855.46
CUST-0125,Thomas Stewart,Corporate,East,Pennsylvania,Pittsburgh,2024-08-10,GEO-0031,15,14,13483.75,5784.31,37,2024-09-07,2026-06-16,5,5,5,555,Champions,13483.75,963.12
CUST-0126,Rachel Allen,Corporate,East,New York,New York City,2025-05-25,GEO-0014,92,7,2168.45,910.1,12,2025-06-09,2026-03-31,4,4,3,443,Loyal Customers,2168.45,309.78
CUST-0127,Nicole Anderson,Corporate,East,New York,New York City,2023-09-30,GEO-0014,686,2,72.4,25.68,3,2024-03-25,2024-08-14,1,1,1,111,Low-Value Customers,72.4,36.2
CUST-0128,Susan Brown,Home Office,Central,Minnesota,Minneapolis,2024-03-23,GEO-0032,209,1,236.55,113.29,1,2025-12-04,2025-12-04,2,1,1,211,Low-Value Customers,236.55,236.55
CUST-0129,Catherine Sanchez,Consumer,East,New Jersey,Newark,2022-07-28,GEO-0018,4,16,7019.1,2467.31,35,2022-10-24,2026-06-27,5,5,5,555,Champions,7019.1,438.69
CUST-0130,Rachel Hill,Home Office,West,Colorado,Denver,2025-03-05,GEO-0022,121,4,2673.35,994.8199999999999,6,2025-11-09,2026-03-02,3,3,3,333,Loyal Customers,2673.35,668.34
CUST-0131,Tyler Garcia,Consumer,South,Florida,Tampa,2024-01-29,GEO-0009,122,4,2623.7,978.21,6,2024-03-23,2026-03-01,3,3,3,333,Loyal Customers,2623.7,655.92
CUST-0132,William Cook,Corporate,West,California,Los Angeles,2024-05-10,GEO-0008,665,1,199.0,84.9,1,2024-09-04,2024-09-04,1,1,1,111,Low-Value Customers,199.0,199.0
CUST-0133,Virginia Morales,Consumer,Central,Ohio,Cleveland,2024-07-30,GEO-0030,91,6,3529.25,1605.2299999999998,14,2024-11-03,2026-04-01,4,4,4,444,Champions,3529.25,588.21
CUST-0134,Raymond Martin,Consumer,Central,Texas,Houston,2025-06-15,GEO-0023,112,5,2068.8,947.63,10,2025-10-31,2026-03-11,3,3,3,333,Loyal Customers,2068.8,413.76
CUST-0135,Diane Morgan,Corporate,South,North Carolina,Charlotte,2024-06-11,GEO-0015,49,3,642.05,304.11,10,2024-10-14,2026-05-13,4,2,2,422,New Customers,642.05,214.02
